N1	N2	W
152	72	1
153	72	1
153	72	1
156	72	1
157	72	1
163	72	1
173	72	1
218	72	1
240	72	1
1	73	1
9	73	1
9	73	1
19	73	1
19	73	1
21	73	1
21	73	1
40	73	1
42	73	1
11	73	1
74	73	1
75	73	1
6	74	1
10	74	1
10	74	1
12	74	1
20	74	1
20	74	1
22	74	1
22	74	1
40	74	1
41	74	1
41	74	1
51	74	1
53	74	1
12	74	1
22	74	1
73	74	1
76	74	1
162	74	1
175	74	1
177	74	1
183	74	1
5	75	1
5	75	1
7	75	1
14	75	1
21	75	1
21	75	1
56	75	1
73	75	1
52	75	1
76	75	1
199	75	1
114	75	1
114	75	1
115	75	1
167	75	1
167	75	1
220	75	1
6	76	1
6	76	1
6	76	1
22	76	1
22	76	1
43	76	1
45	76	1
57	76	1
65	76	1
74	76	1
53	76	1
75	76	1
171	76	1
200	76	1
114	76	1
168	76	1
183	76	1
183	76	1
223	76	1
11	77	1
12	77	1
12	77	1
12	77	1
13	77	1
13	77	1
14	77	1
19	77	1
19	77	1
19	77	1
40	77	1
40	77	1
41	77	1
46	77	1
46	77	1
47	77	1
54	77	1
78	77	1
78	77	1
78	77	1
167	77	1
167	77	1
8	78	1
11	78	1
12	78	1
12	78	1
12	78	1
12	78	1
14	78	1
19	78	1
19	78	1
19	78	1
20	78	1
20	78	1
40	78	1
40	78	1
41	78	1
43	78	1
46	78	1
46	78	1
47	78	1
47	78	1
77	78	1
77	78	1
77	78	1
13	79	1
17	79	1
28	79	1
55	79	1
55	79	1
60	79	1
61	79	1
61	79	1
80	79	1
177	79	1
183	79	1
